dataset_key,dataset_name,model_key,model_name,feature,mean_abs_shap,mean_rank,rank_std,top_k_frequency,folds_observed,consensus_rank
dataset1,Personal Key Indicators of Heart Disease (2022),adaboost,AdaBoost,CovidPos_Tested_positive_using_home_test_without_a_health_professional,0.0,131.0,0.0,0.0,5,131
dataset1,Personal Key Indicators of Heart Disease (2022),adaboost,AdaBoost,CovidPos_Yes,0.0,132.0,0.0,0.0,5,132
dataset1,Personal Key Indicators of Heart Disease (2022),lightgbm,LightGBM,HadAngina,0.36219391175778676,1.2,0.4472135954999579,1.0,5,1
dataset1,Personal Key Indicators of Heart Disease (2022),lightgbm,LightGBM,ChestScan,0.3180921862752739,1.8,0.4472135954999579,1.0,5,2
dataset1,Personal Key Indicators of Heart Disease (2022),lightgbm,LightGBM,Sex,0.2730185308343597,3.0,0.0,1.0,5,3
dataset1,Personal Key Indicators of Heart Disease (2022),lightgbm,LightGBM,RemovedTeeth_None_of_them,0.20186452327640386,4.0,0.0,1.0,5,4
dataset1,Personal Key Indicators of Heart Disease (2022),lightgbm,LightGBM,GeneralHealth_Very_good,0.13487608275814505,5.8,0.8366600265340756,1.0,5,5
dataset1,Personal Key Indicators of Heart Disease (2022),lightgbm,LightGBM,AgeCategory_Age_18_to_24,0.14187711269850936,6.4,1.51657508881031,1.0,5,6
dataset1,Personal Key Indicators of Heart Disease (2022),lightgbm,LightGBM,GeneralHealth_Excellent,0.12823281270011536,6.4,1.140175425099138,1.0,5,7
dataset1,Personal Key Indicators of Heart Disease (2022),lightgbm,LightGBM,AgeCategory_Age_30_to_34,0.11324384674948054,8.4,1.3416407864998738,1.0,5,8
dataset1,Personal Key Indicators of Heart Disease (2022),lightgbm,LightGBM,AgeCategory_Age_25_to_29,0.1019196654045325,10.4,2.302172886644268,0.6,5,9
dataset1,Personal Key Indicators of Heart Disease (2022),lightgbm,LightGBM,HadStroke,0.09746258049219311,11.4,1.8165902124584952,0.2,5,10
dataset1,Personal Key Indicators of Heart Disease (2022),lightgbm,LightGBM,AgeCategory_Age_80_or_older,0.09645877721692565,12.2,3.3466401061363023,0.2,5,11
dataset1,Personal Key Indicators of Heart Disease (2022),lightgbm,LightGBM,SmokerStatus_Never_smoked,0.09377761935536824,12.6,2.5099800796022267,0.4,5,12
dataset1,Personal Key Indicators of Heart Disease (2022),lightgbm,LightGBM,DifficultyWalking,0.08995552111041846,12.8,2.0493901531919194,0.0,5,13
dataset1,Personal Key Indicators of Heart Disease (2022),lightgbm,LightGBM,HadDiabetes_Yes,0.09171407235963083,13.0,3.24037034920393,0.4,5,14
dataset1,Personal Key Indicators of Heart Disease (2022),lightgbm,LightGBM,AgeCategory_Age_40_to_44,0.09008749641245117,13.4,4.722287581247038,0.2,5,15
dataset1,Personal Key Indicators of Heart Disease (2022),lightgbm,LightGBM,HadArthritis,0.08535976728049399,15.0,2.1213203435596424,0.0,5,16
dataset1,Personal Key Indicators of Heart Disease (2022),lightgbm,LightGBM,AgeCategory_Age_35_to_39,0.07947677382228588,16.2,1.4832396974191326,0.0,5,17
dataset1,Personal Key Indicators of Heart Disease (2022),lightgbm,LightGBM,RemovedTeeth_1_to_5,0.07638308251642775,17.8,0.8366600265340756,0.0,5,18
dataset1,Personal Key Indicators of Heart Disease (2022),lightgbm,LightGBM,LastCheckupTime_Within_past_year_anytime_less_than_12_months_ago_,0.06703832074574793,19.6,1.1401754250991378,0.0,5,19
dataset1,Personal Key Indicators of Heart Disease (2022),lightgbm,LightGBM,AlcoholDrinkers,0.05796686699019428,21.0,1.8708286933869707,0.0,5,20
dataset1,Personal Key Indicators of Heart Disease (2022),lightgbm,LightGBM,AgeCategory_Age_75_to_79,0.058195414758795805,21.4,3.8470768123342687,0.0,5,21
dataset1,Personal Key Indicators of Heart Disease (2022),lightgbm,LightGBM,AgeCategory_Age_70_to_74,0.05984070938949666,21.8,2.6832815729997477,0.0,5,22
dataset1,Personal Key Indicators of Heart Disease (2022),lightgbm,LightGBM,SleepHours,0.05061131933588099,23.2,1.3038404810405295,0.0,5,23
dataset1,Personal Key Indicators of Heart Disease (2022),lightgbm,LightGBM,MentalHealthDays,0.04872737190693914,25.2,2.863564212655271,0.0,5,24
dataset1,Personal Key Indicators of Heart Disease (2022),lightgbm,LightGBM,HadCOPD,0.04546999724195487,26.2,2.16794833886788,0.0,5,25
dataset1,Personal Key Indicators of Heart Disease (2022),lightgbm,LightGBM,TetanusLast10Tdap_No_did_not_receive_any_tetanus_shot_in_the_past_10_years,0.04460421157029497,26.4,2.0736441353327724,0.0,5,26
dataset1,Personal Key Indicators of Heart Disease (2022),lightgbm,LightGBM,GeneralHealth_Fair,0.04172795707799581,27.6,4.505552130427524,0.0,5,27
dataset1,Personal Key Indicators of Heart Disease (2022),lightgbm,LightGBM,AgeCategory_Age_45_to_49,0.04147124159268829,27.8,2.16794833886788,0.0,5,28
dataset1,Personal Key Indicators of Heart Disease (2022),lightgbm,LightGBM,BMI,0.039727680776929966,29.6,3.974921382870358,0.0,5,29
dataset1,Personal Key Indicators of Heart Disease (2022),lightgbm,LightGBM,HIVTesting,0.03839989732262016,29.6,4.03732584763727,0.0,5,30
dataset1,Personal Key Indicators of Heart Disease (2022),lightgbm,LightGBM,PhysicalHealthDays,0.03901091636807352,30.0,4.795831523312719,0.0,5,31
dataset1,Personal Key Indicators of Heart Disease (2022),lightgbm,LightGBM,WeightInKilograms,0.03828281614322922,30.4,0.8944271909999155,0.0,5,32
dataset1,Personal Key Indicators of Heart Disease (2022),lightgbm,LightGBM,TetanusLast10Tdap_Yes_received_Tdap,0.03799736172712868,31.0,2.4494897427831783,0.0,5,33
dataset1,Personal Key Indicators of Heart Disease (2022),lightgbm,LightGBM,HadDiabetes_No,0.029511856482289774,35.2,4.969909455915671,0.0,5,34
dataset1,Personal Key Indicators of Heart Disease (2022),lightgbm,LightGBM,HeightInMeters,0.02720964362424163,36.8,3.4205262752974135,0.0,5,35
dataset1,Personal Key Indicators of Heart Disease (2022),lightgbm,LightGBM,RaceEthnicityCategory_Black_only_Non_Hispanic,0.02609597894612829,37.6,2.701851217221259,0.0,5,36
dataset1,Personal Key Indicators of Heart Disease (2022),lightgbm,LightGBM,AgeCategory_Age_50_to_54,0.02310163844760423,39.0,3.391164991562634,0.0,5,37
dataset1,Personal Key Indicators of Heart Disease (2022),lightgbm,LightGBM,DeafOrHardOfHearing,0.023489194672773894,39.4,2.302172886644267,0.0,5,38
dataset1,Personal Key Indicators of Heart Disease (2022),lightgbm,LightGBM,GeneralHealth_Poor,0.022950732994646367,39.8,3.1144823004794877,0.0,5,39
dataset1,Personal Key Indicators of Heart Disease (2022),lightgbm,LightGBM,RemovedTeeth_All,0.021143118783832994,41.0,4.06201920231798,0.0,5,40
dataset1,Personal Key Indicators of Heart Disease (2022),lightgbm,LightGBM,CovidPos_No,0.022294078720001255,41.2,3.0331501776206196,0.0,5,41
dataset1,Personal Key Indicators of Heart Disease (2022),lightgbm,LightGBM,HadKidneyDisease,0.02160435331991106,41.4,3.9115214431215892,0.0,5,42
dataset1,Personal Key Indicators of Heart Disease (2022),lightgbm,LightGBM,CovidPos_Tested_positive_using_home_test_without_a_health_professional,0.020509577489387636,41.8,7.395944834840239,0.0,5,43
dataset1,Personal Key Indicators of Heart Disease (2022),lightgbm,LightGBM,AgeCategory_Age_65_to_69,0.020021276604400076,42.4,6.6558245169174945,0.0,5,44
dataset1,Personal Key Indicators of Heart Disease (2022),lightgbm,LightGBM,FluVaxLast12,0.017242395144093717,45.4,1.9493588689617931,0.0,5,45
